id;evaluador;1_i1;1_i2;1_i3;2_i1;2_i2;3_i1;3_i2;3_i3;3_i4;3_i5;3_i6;3_i7;3_i8;4_i1;4_i2;4_i3;5_i1;5_i2
A001;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
A002;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A003;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A004;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A005;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A006;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A007;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A008;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A009;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A010;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A011;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A012;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0
A013;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B001;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B002;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B003;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B004;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
B005;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1
B006;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B007;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B008;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B009 ;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
B010;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
B011;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B012;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B013;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B014;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B015;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B016;1;1;1;1;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0
B017;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
